mobygames_id	en_wikipedia_id
gladiator__	Gladiator_(video_game)
glider-rider	Glider_Rider_(video_game)
gnome-ranger	Gnome_Ranger
godzilla_	Godzilla_(1983_video_game)
golden-axe	Golden_Axe_(video_game)
golden-basket	Golden_Basket
goody	Goody_(video_game)
gorf	Gorf
gossip	Gossip_(video_game)
gp-rider	GP_Rider
graham-goochs-test-cricket	Graham_Gooch's_Test_Cricket
graham-goochs-test-cricket	Graham_Gooch%27s_Test_Cricket
grand-national	Grand_National_(video_game)
grand-prix-500-cc	500cc_Grand_Prix
grand-prix-circuit	Grand_Prix_Circuit_(video_game)
grand-prix-simulator	Grand_Prix_Simulator
grange-hill	Grange_Hill_(video_game)
grannys-garden_	Granny%27s_Garden
great-american-cross-country-road-race	The_Great_American_Cross-Country_Road_Race
great-britain-limited	Great_Britain_Ltd
great-escape	The_Great_Escape_(1986_video_game)
gremlins-2-the-new-batch	Gremlins_2:_The_New_Batch_(video_game)
gremlins-the-adventure	Gremlins:_The_Adventure
gribblys-day-out	Gribbly%27s_Day_Out
gridrunner	Gridrunner
grobda	Grobda
growl	Growl_(video_game)
guardians-of-the-hood	Guardians_of_the_%27Hood
