mobygames_id	world_of_spectrum_id
deadenders	0006150
deadly-evil	0001285
death-or-glory	0001293
death-stalker	0009330
death-star	0001294
death-star-interceptor	0001295
death-sword	0000407
death-wake	0001298
death-wish-3	0001299
deathchase	0001303
deathscape	0001305
deeks-deeds	0006153
deep_	0001311
deep-strike	0001309
defcom	0001313
defenda	0001317
defenders-of-the-earth	0001323
deffendar	0001326
deflektor	0001327
deliverance-stormlord-ii	0004925
delta-wing	0001337
demon-from-the-darkside	0006157
demon-knight	0006161
denis-through-the-drinking-glass	0006164
derby-day	0001351
desert-hawk	0001355
desert-rats-the-north-africa-campaign	0001357
desmond-and-gertrude	0006166
desperado-2	0001361
destructo	0001474
devastating-blow	0001374
deviants	0001375
devil-diver	0001379
devil-rides-in	0001380
devils-crown	0001381
devils-island	0006171
devils-of-the-deep	0001383
devon-aire-in-the-hidden-diamond-caper	0002488
diablo__	0006172
diamond	0001384
diamond-trail	0006178
diarmid	0006179
dictator	0001388
die-alien-slime	0001390
digger-dan	0001391
disco-dan	0001400
discs-of-death	0001401
dive-bomber	0003423
dix-mille	0001404
dizzy-dice	0001406
dizzy-down-the-rapids	0009340
dizzy-panic	0009387
dizzy-prince-of-the-yolkfolk	0009338
dizzy-the-ultimate-cartoon-adventure	0009332
dna-warrior	0001410
do-do	0001419
doc-the-destroyer	0001413
doctor-what	0001416
dodgy-geezers	0006189
dogfight-2187	0001421
domes-of-sha	0006196
domes-of-sha	0006198
dominator	0001425
don-quijote	0006199
donkey-kong	0001437
dont-buy-this	0015227
dont-buy-this	0015228
dont-buy-this	0015229
dont-panic	0001441
doomdarks-revenge	0006201
doomsday-castle	0001448
doomsday-papers	0006203
double	0001468
double-agent_	0006205
double-dragon-3-the-rosetta-stone	0001463
double-play-adventure-time-quest-crystal-quest	0007108
double-take	0001464
dr-franky-and-the-monster	0001476
dr-jekyll-and-mr-hyde_	0006207
draconus	0001484
dracula_	0006211
dragon-breed	0001486
dragonfire	0001495
dragons-lair-part-ii-escape-from-singes-castle	0001498
dragons-of-flame	0001500
